CÓDIGO BOBINA,ACABADO,COLOR,ESPESOR (MM),ANCHO (MM),KILOS INICIALES,COSTO UNITARIO (S/KG SIN IGV),MONEDA,TIPO DE CAMBIO,FACTURA DE REFERENCIA,FECHA DE REFERENCIA
BOB-2026-001,EJ-ROJO,Rojo,0.35,1000,2450.500,4.2000,PEN,,F001-000123,2026-01-05
BOB-2026-002,EJ-ROJO,Rojo,0.35,1220,1800.000,4.1500,PEN,,F001-000123,2026-01-05
BOB-2026-003,EJ-AZUL,Azul,0.30,1000,3100.750,3.9500,PEN,,F001-000145,2026-01-12
BOB-2026-004,EJ-AZUL,Azul,0.45,1000,2200.000,4.4000,USD,3.76,F001-000201,2026-02-03
BOB-2026-005,EJ-VERDE,Verde,0.35,1220,1950.250,4.1000,PEN,,,
BOB-2026-006,EJ-BLANCO,Blanco,0.30,1000,2700.000,3.8500,PEN,,F001-000178,2026-01-20
BOB-2026-007,EJ-BLANCO,Blanco,0.35,1000,1600.500,4.0500,USD,3.78,,
BOB-2026-008,EJ-NATURAL,,0.50,1220,4200.000,3.5000,PEN,,F001-000090,2025-12-15
BOB-2026-009,EJ-NATURAL,,0.45,1000,3050.000,3.4500,PEN,,,
BOB-2026-010,EJ-GALV,,0.35,1000,2890.000,3.9000,PEN,,F001-000210,2026-02-10
BOB-2026-011,EJ-GALV,,0.40,1220,2100.000,4.0000,USD,3.77,,
BOB-2026-012,EJ-ROJO,Rojo,0.40,1220,1750.000,4.3000,PEN,,F001-000230,2026-02-18
INVALIDO-ACABADO-INEXISTENTE,EJ-NOEXISTE,,0.35,1000,1000.000,4.0000,PEN,,,
INVALIDO-COLOR-NO-COINCIDE,EJ-ROJO,Azul,0.35,1000,1000.000,4.0000,PEN,,,
INVALIDO-SIN-COSTO,EJ-VERDE,Verde,0.35,1000,1000.000,,PEN,,,
