SKU PRODUCTO,UNIDADES,COSTO UNITARIO (SIN IGV),MONEDA,TIPO DE CAMBIO,FACTURA DE REFERENCIA,FECHA DE REFERENCIA
EJ-UPVC-BLANCO,120,42.0000,PEN,,F002-000010,2026-01-08
EJ-UPVC-GRIS,95,43.5000,PEN,,F002-000010,2026-01-08
EJ-UPVC-BLANCO,40,44.0000,PEN,,F002-000022,2026-02-01
EJ-UPVC-TEJA,60,15.2000,USD,3.76,F002-000031,2026-02-10
EJ-REVENTA-TORNILLO,500,0.3500,PEN,,F003-000001,2026-01-15
EJ-REVENTA-SELLADOR,200,8.9000,PEN,,,
EJ-REVENTA-CLAVO,1000,0.1200,USD,3.77,F003-000015,2026-02-05
EJ-REVENTA-CINTA,150,2.5000,PEN,,F003-000020,2026-02-12
INVALIDO-SKU-INEXISTENTE,10,10.0000,PEN,,,
EJ-UPVC-BLANCO,0,10.0000,PEN,,,
EJ-PERFIL-FABRICADO,10,10.0000,PEN,,,
